feature_group1,feature_group2,feature_group3,feature_group4,target
16943.87516,51756.37499,0,6008,1
1562.416849,52121.53028,0,6100,1
2557.976995,4558.348154,3,3217,1
13610.85888,58170.92183,0,7107,1
4579.348049,9571.973988,1,3333,1
3450.596082,3565.029644,2,351,1
12366.0915,54890.98395,0,6671,1
6407.178161,12624.50756,1,4424,1
3848.538728,7982.445851,1,2444,1
3123.538961,5304.140003,3,4291,1
7073.814908,15081.62786,1,5284,1
13475.16053,46597.60929,0,5373,1
2971.862231,5178.536321,2,2592,1
3555.820098,6817.556233,2,4186,1
3785.840413,7389.709742,2,4641,1
6417.169347,11736.28431,1,4136,1
2225.40883,48095.77448,0,5254,1
12117.56127,42696.98405,0,4751,1
3247.997843,6420.428189,2,3864,1
14080.17694,51050.81209,0,6080,1
4524.649958,8950.812587,1,2811,1
10388.92064,44082.79686,0,5033,1
9986.460149,46432.3903,0,5395,1
14184.4884,57277.39007,0,6951,1
5532.662263,12687.11445,1,4701,1
15522.78283,55390.75,0,6664,1
9073.518383,42012.62484,0,4678,1
6790.071058,15094.55263,1,5617,1
3177.54381,6106.271372,2,3670,1
5932.530231,28694.96875,0,2108,1
1194.953295,56432.18666,0,6854,1
6205.773684,11275.47336,1,4072,1
2391.639092,42335.65544,0,4578,1
11982.68431,52152.96793,0,6276,1
10040.81998,38007.17179,0,3961,1
2775.288524,4333.827076,3,3105,1
2458.811738,4871.195208,3,3971,1
14256.51304,49341.57764,0,5857,1
2864.615834,5886.362606,2,3209,1
1430.123771,53338.98373,0,6397,1
14615.13528,51356.53093,0,6086,1
12326.48253,50931.78086,0,6086,1
15270.24419,56405.24913,0,6864,1
12398.51968,54829.48331,0,6555,1
4093.177268,7850.084003,2,4218,1
14234.71777,50216.46825,0,5858,1
15660.6459,54067.53,0,6500,1
13865.42033,51111.29687,0,6133,1
13175.88739,44351.24999,0,5008,1
12523.13919,46229.2812,0,5390,1
14244.64965,48847.87437,0,5760,1
13939.31859,54948.53001,0,6618,1
8663.03674,45319.53056,0,5210,1
9868.113814,40976.29686,0,4457,1
15058.46835,57298.64058,0,6923,1
3353.968072,7591.556583,2,4476,1
14475.70507,47644.21862,0,5512,1
11015.69314,47700.43621,0,5464,1
5249.324297,11886.04951,1,4375,1
17285.7362,57416.87206,0,6706,1
13518.73912,45589.42181,0,5295,1
6412.751187,36766.65545,0,3412,1
16319.32087,55814.35928,0,6751,1
7729.66233,34341.53082,0,3248,1
10026.65376,55424.22532,0,6319,1
3575.513508,6359.129276,1,742,1
1588.943544,45161.18741,0,5232,1
2785.794528,4926.773035,3,3759,1
4159.798513,10078.45158,1,3288,1
6179.378254,12011.02874,1,4450,1
15612.23915,53059.56248,0,6382,1
7876.290745,41207.29656,0,4581,1
13613.53656,51705.70205,0,6199,1
6412.588831,13602.58789,1,5069,1
10133.12049,46128.81223,0,5366,1
17966.05048,58351.99315,0,7062,1
4163.941316,10072.57525,1,3362,1
12657.64003,49130.15608,0,5802,1
1595.027795,58730.27779,0,7102,1
5076.572511,9696.453315,1,2598,1
17192.49734,57435.84284,0,6936,1
3709.857422,7081.299849,2,4033,1
2128.786628,53475.43164,0,6204,1
5058.111293,27348.03082,0,1888,1
1673.422005,49884.82382,0,5581,1
12515.35033,46689.64055,0,5453,1
6849.13603,18207.13849,1,6662,1
12488.86083,55048.38916,0,6603,1
6227.129843,15317.50252,1,5802,1
11442.03628,42077.68735,0,4736,1
14648.92907,57374.60885,0,7009,1
4535.296542,9536.772956,1,3372,1
4758.000218,9134.1892,2,5610,1
15496.677,50281.03119,0,5946,1
16387.38431,57682.26516,0,6991,1
12567.08039,44648.93749,0,5116,1
7037.1747,16724.33767,1,6256,1
15013.29213,53598.6713,0,6469,1
5140.333626,12799.77448,1,4692,1
9620.239443,44712.90583,0,5160,1
8861.098735,40791.24956,0,4288,1
5494.87568,10949.13237,1,3881,1
13099.5029,57855.3422,0,6994,1
7908.752955,37294.5932,0,3724,1
4225.237639,10104.44475,1,3508,1
4313.550231,10145.48647,1,3490,1
11659.9853,52030.45279,0,6213,1
12719.70505,52813.87472,0,6358,1
9770.476971,48937.29616,0,5729,1
12710.98558,49102.78122,0,5838,1
12100.07787,45778.39052,0,5141,1
1465.946694,47680.68727,0,5580,1
13568.40585,52491.48425,0,6281,1
3593.06315,7646.947468,1,2237,1
4120.700352,7720.629764,2,4773,1
15135.65866,55143.54598,0,6653,1
12715.45596,55655.546,0,6717,1
4687.135007,35710.96785,0,3302,1
1666.05852,51898.60532,0,5957,1
10268.60819,44487.95311,0,5087,1
18816.6003,59542.51325,0,7134,1
4856.771039,12840.78842,1,4654,1
3369.433083,4320.96253,2,1129,1
3058.610961,10445.35315,1,2433,1
3967.014925,8195.694275,2,4938,1
3401.864579,9849.289835,1,3011,1
13305.88608,47272.93723,0,5524,1
12339.21531,51450.87477,0,6164,1
11278.65305,52317.63995,0,6289,1
15052.63657,60460.96533,0,7328,1
13609.06726,54799.8585,0,6613,1
11849.36507,51632.71865,0,6048,1
13680.18573,48480.59344,0,5780,1
9982.04923,46925.45237,0,5469,1
12825.42042,55938.21786,0,6794,1
18195.91941,60726.74959,0,7414,1
14010.37445,51842.78125,0,6146,1
5156.977264,34337.95272,0,3077,1
5413.024727,41145.62407,0,4178,1
10651.02656,54184.43568,0,6340,1
1892.519368,45063.0778,0,5119,1
10310.79525,49713.12421,0,5804,1
9761.568767,39940.26562,0,4221,1
13671.76004,53159.21872,0,6382,1
5437.319887,7478.450357,1,323,1
6432.519367,16921.57571,1,6278,1
4544.409056,10221.8793,1,3439,1
9631.28976,46498.95266,0,5395,1
13716.40521,42580.03122,0,4808,1
2057.705786,40415.64036,0,4443,1
11269.84587,44272.53088,0,5028,1
9560.900036,36700.6873,0,3792,1
1647.599143,45746.07808,0,5285,1
16451.43844,53443.42179,0,6357,1
14851.86663,51417.12464,0,6158,1
12857.05449,45165.62444,0,5088,1
10508.57833,48922.85937,0,5797,1
3538.720902,5970.541803,2,3500,1
14684.3396,50671.24964,0,6052,1
2169.768014,41236.34345,0,4546,1
13945.63365,42890.53099,0,4860,1
9307.546058,38469.99956,0,4042,1
1964.275461,37563.03094,0,3822,1
15960.85651,56773.90256,0,6539,1
1779.511257,53513.68643,0,6372,1
16170.45578,56917.96838,0,6930,1
15271.19264,53212.20299,0,6413,1
15271.01098,53634.09357,0,6420,1
3099.338327,6075.452567,2,3419,1
6525.661145,39977.21789,0,4208,1
15529.54271,58091.52928,0,7066,1
14913.27164,54652.24951,0,6586,1
16291.08145,53976.04682,0,6477,1
4142.122525,7411.52328,2,4529,1
11069.20881,49540.40581,0,5860,1
14540.38277,51133.32805,0,6121,1
9170.800814,43270.24915,0,4732,1
14278.85158,59521.31037,0,7250,1
6792.909063,17241.17028,1,6454,1
3224.924185,42790.14017,0,4605,1
8785.084132,18875.52646,1,7065,1
9869.745933,50579.84288,0,6004,1
4393.288145,7844.074309,1,2215,1
2230.017425,42355.65585,0,4750,1
15579.69646,58979.79679,0,7227,1
13549.42262,50496.24968,0,5982,1
11667.50477,40515.96872,0,4400,1
1211.884771,57324.26286,0,6923,1
12004.43969,46546.28106,0,5448,1
15051.44686,55158.17141,0,6615,1
15518.46517,51572.98404,0,6053,1
2371.936727,4172.560337,3,3063,1
8429.996894,37726.81205,0,3894,1
14949.04193,57128.73289,0,6959,1
10112.47568,37714.23437,0,3961,1
